,Sample,Population
765,HG01618,Europe
766,HG01619,Europe
767,HG01620,Europe
768,HG01621,Europe
769,HG01622,Europe
770,HG01623,Europe
771,HG01624,Europe
772,HG01625,Europe
773,HG01626,Europe
774,HG01627,Europe
775,HG01628,Europe
776,HG01629,Europe
777,HG01630,Europe
778,HG01631,Europe
779,HG01632,Europe
780,HG01633,Europe
781,HG01667,Europe
782,HG01668,Europe
783,HG01669,Europe
784,HG01670,Europe
785,HG01671,Europe
786,HG01672,Europe
787,HG01673,Europe
788,HG01674,Europe
789,HG01675,Europe
790,HG01676,Europe
791,HG01677,Europe
792,HG01678,Europe
793,HG01679,Europe
794,HG01680,Europe
795,HG01681,Europe
796,HG01682,Europe
797,HG01683,Europe
798,HG01684,Europe
799,HG01685,Europe
800,HG01686,Europe
801,HG01687,Europe
802,HG01694,Europe
803,HG01695,Europe
804,HG01696,Europe
805,HG01697,Europe
806,HG01698,Europe
807,HG01699,Europe
808,HG01700,Europe
809,HG01701,Europe
810,HG01702,Europe
811,HG01703,Europe
812,HG01704,Europe
813,HG01705,Europe
814,HG01706,Europe
815,HG01707,Europe
816,HG01708,Europe
817,HG01709,Europe
818,HG01710,Europe
819,HG01711,Europe
820,HG01746,Europe
821,HG01747,Europe
822,HG01748,Europe
823,HG01755,Europe
824,HG01756,Europe
825,HG01757,Europe
826,HG01761,Europe
827,HG01762,Europe
828,HG01763,Europe
829,HG01764,Europe
830,HG01765,Europe
831,HG01766,Europe
832,HG01767,Europe
833,HG01768,Europe
834,HG01769,Europe
835,HG01770,Europe
836,HG01771,Europe
837,HG01772,Europe
838,HG01773,Europe
839,HG01774,Europe
840,HG01775,Europe
841,HG01776,Europe
842,HG01777,Europe
843,HG01778,Europe
844,HG01779,Europe
845,HG01780,Europe
846,HG01781,Europe
847,HG01782,Europe
848,HG01783,Europe
849,HG01784,Europe
850,HG01785,Europe
851,HG01786,Europe
852,HG01787,Europe
853,HG01789,Europe
854,HG01790,Europe
855,HG01791,Europe
856,HG01794,Asia
857,HG01795,Asia
858,HG01796,Asia
859,HG01797,Asia
860,HG01798,Asia
861,HG01799,Asia
862,HG01800,Asia
863,HG01801,Asia
864,HG01802,Asia
865,HG01804,Asia
866,HG01805,Asia
867,HG01806,Asia
868,HG01807,Asia
869,HG01808,Asia
870,HG01809,Asia
871,HG01810,Asia
872,HG01811,Asia
873,HG01812,Asia
874,HG01813,Asia
875,HG01815,Asia
876,HG01816,Asia
877,HG01817,Asia
878,HG01840,Africa
879,HG01841,Africa
880,HG01842,Africa
881,HG01843,Africa
882,HG01844,Africa
883,HG01845,Africa
884,HG01846,Africa
885,HG01847,Africa
886,HG01848,Africa
887,HG01849,Africa
888,HG01850,Africa
889,HG01851,Africa
890,HG01852,Africa
891,HG01853,Africa
892,HG01855,Africa
893,HG01857,Africa
894,HG01858,Africa
895,HG01859,Africa
896,HG01860,Africa
897,HG01861,Africa
898,HG01862,Africa
899,HG01863,Africa
900,HG01864,Africa
901,HG01865,Africa
902,HG01866,Africa
903,HG01867,Africa
904,HG01868,Africa
905,HG01869,Africa
906,HG01870,Africa
907,HG01871,Africa
908,HG01872,Africa
909,HG01873,Africa
910,HG01874,Africa
911,HG01878,Africa
912,HG01879,NorthAmerica
913,HG01880,NorthAmerica
914,HG01881,NorthAmerica
915,HG01882,NorthAmerica
916,HG01883,NorthAmerica
917,HG01884,NorthAmerica
918,HG01885,NorthAmerica
919,HG01886,NorthAmerica
920,HG01887,NorthAmerica
921,HG01888,NorthAmerica
922,HG01889,NorthAmerica
923,HG01890,NorthAmerica
924,HG01891,NorthAmerica
925,HG01892,SouthAmerica
926,HG01893,SouthAmerica
927,HG01894,NorthAmerica
928,HG01895,NorthAmerica
929,HG01896,NorthAmerica
930,HG01897,NorthAmerica
931,HG01898,SouthAmerica
932,HG01912,NorthAmerica
933,HG01914,NorthAmerica
934,HG01915,NorthAmerica
935,HG01916,NorthAmerica
936,HG01917,SouthAmerica
937,HG01918,SouthAmerica
938,HG01919,SouthAmerica
939,HG01920,SouthAmerica
940,HG01921,SouthAmerica
941,HG01922,SouthAmerica
942,HG01923,SouthAmerica
943,HG01924,SouthAmerica
944,HG01925,SouthAmerica
945,HG01926,SouthAmerica
946,HG01927,SouthAmerica
947,HG01928,SouthAmerica
948,HG01932,SouthAmerica
949,HG01933,SouthAmerica
950,HG01934,SouthAmerica
951,HG01935,SouthAmerica
952,HG01936,SouthAmerica
953,HG01937,SouthAmerica
954,HG01938,SouthAmerica
955,HG01939,SouthAmerica
956,HG01940,SouthAmerica
957,HG01941,SouthAmerica
958,HG01942,SouthAmerica
959,HG01943,SouthAmerica
960,HG01944,SouthAmerica
961,HG01945,SouthAmerica
962,HG01946,SouthAmerica
963,HG01947,SouthAmerica
964,HG01948,SouthAmerica
965,HG01949,SouthAmerica
966,HG01950,SouthAmerica
967,HG01951,SouthAmerica
968,HG01952,SouthAmerica
969,HG01953,SouthAmerica
970,HG01954,SouthAmerica
971,HG01955,SouthAmerica
972,HG01956,NorthAmerica
973,HG01958,NorthAmerica
974,HG01959,NorthAmerica
975,HG01960,NorthAmerica
976,HG01961,SouthAmerica
977,HG01965,SouthAmerica
978,HG01967,SouthAmerica
979,HG01968,SouthAmerica
980,HG01969,SouthAmerica
981,HG01970,SouthAmerica
982,HG01971,SouthAmerica
983,HG01972,SouthAmerica
984,HG01973,SouthAmerica
985,HG01974,SouthAmerica
986,HG01975,SouthAmerica
987,HG01976,SouthAmerica
988,HG01977,SouthAmerica
989,HG01978,SouthAmerica
990,HG01979,SouthAmerica
991,HG01980,SouthAmerica
992,HG01981,SouthAmerica
993,HG01982,SouthAmerica
994,HG01983,SouthAmerica
995,HG01984,SouthAmerica
996,HG01985,NorthAmerica
997,HG01986,NorthAmerica
998,HG01987,NorthAmerica
999,HG01988,NorthAmerica
1000,HG01989,NorthAmerica
1001,HG01990,NorthAmerica
1002,HG01991,SouthAmerica
1003,HG01992,SouthAmerica
1004,HG01993,SouthAmerica
1005,HG01995,SouthAmerica
1006,HG01997,SouthAmerica
1007,HG01998,SouthAmerica
1008,HG02002,SouthAmerica
1009,HG02003,SouthAmerica
1010,HG02004,SouthAmerica
1011,HG02006,SouthAmerica
1012,HG02008,SouthAmerica
1013,HG02009,NorthAmerica
1014,HG02010,NorthAmerica
1015,HG02011,NorthAmerica
1016,HG02012,NorthAmerica
1017,HG02013,NorthAmerica
1018,HG02014,NorthAmerica
1019,HG02015,Africa
1020,HG02016,Africa
1021,HG02017,Africa
1022,HG02018,Africa
1023,HG02019,Africa
1024,HG02020,Africa
1025,HG02021,Africa
1026,HG02023,Africa
1027,HG02024,Africa
1028,HG02025,Africa
1029,HG02026,Africa
1030,HG02027,Africa
1031,HG02028,Africa
1032,HG02029,Africa
1033,HG02030,Africa
1034,HG02031,Africa
1035,HG02032,Africa
1036,HG02035,Africa
1037,HG02040,Africa
1038,HG02046,Africa
1039,HG02047,Africa
1040,HG02048,Africa
1041,HG02049,Africa
1042,HG02050,Africa
1043,HG02051,NorthAmerica
1044,HG02052,NorthAmerica
1045,HG02053,NorthAmerica
1046,HG02054,NorthAmerica
1047,HG02055,NorthAmerica
1048,HG02056,Africa
1049,HG02057,Africa
1050,HG02058,Africa
1051,HG02059,Africa
1052,HG02060,Africa
1053,HG02061,Africa
1054,HG02064,Africa
1055,HG02067,Africa
1056,HG02068,Africa
1057,HG02069,Africa
1058,HG02070,Africa
1059,HG02071,Africa
1060,HG02072,Africa
1061,HG02073,Africa
1062,HG02074,Africa
1063,HG02075,Africa
1064,HG02076,Africa
1065,HG02077,Africa
1066,HG02078,Africa
1067,HG02079,Africa
1068,HG02080,Africa
1069,HG02081,Africa
1070,HG02082,Africa
1071,HG02083,Africa
1072,HG02084,Africa
1073,HG02085,Africa
1074,HG02086,Africa
1075,HG02087,Africa
1076,HG02088,Africa
1077,HG02089,SouthAmerica
1078,HG02090,SouthAmerica
1079,HG02091,SouthAmerica
1080,HG02095,NorthAmerica
1081,HG02102,SouthAmerica
1082,HG02104,SouthAmerica
1083,HG02105,SouthAmerica
1084,HG02106,SouthAmerica
1085,HG02107,NorthAmerica
1086,HG02108,NorthAmerica
1087,HG02111,NorthAmerica
1088,HG02113,Africa
1089,HG02116,Africa
1090,HG02120,Africa
1091,HG02121,Africa
1092,HG02122,Africa
1093,HG02126,Africa
1094,HG02127,Africa
1095,HG02128,Africa
1096,HG02129,Africa
1097,HG02130,Africa
1098,HG02131,Africa
1099,HG02132,Africa
1100,HG02133,Africa
1101,HG02134,Africa
1102,HG02135,Africa
1103,HG02136,Africa
